first name,last name,Google Scholar URL
Jonas Valbjørn,Andersen,https://scholar.google.com/citations?hl=da&user=gs8NZNsAAAAJ
kaare bjarke,mikkelsen,https://scholar.google.com/citations?user=DL5CvZoAAAAJ
Kamal,Nasrollahi,https://scholar.google.dk/citations?user=EqjkO6sAAAAJ&hl=en
Kasper,Hornbæk,https://scholar.google.com/citations?user=S6VMDA8AAAAJ
Kasper Green,Larsen,https://scholar.google.com/citations?user=ZluoxUcAAAAJ&hl=en
Katja,Hose,https://scholar.google.com/citations?user=LbXvZUoAAAAJ
Ken,Pfeuffer,https://scholar.google.co.uk/citations?user=AqmxADkAAAAJ&hl=en
Kenny,Erleben,https://scholar.google.com/citations?user=CQkvlpUAAAAJ&hl=en
Kilian,Zepf,https://scholar.google.com/citations?user=epo_gP0AAAAJ
Kim,Steenstrup Pedersen,https://scholar.google.dk/citations?user=RzH2vKQAAAAJ
Kiril Vadimovic,Klein,https://scholar.google.com/citations?user=8k9TwncAAAAJ
Kristian,Olesen,https://scholar.google.com/citations?user=K9aQCYQAAAAJ
Kristin,Kaltenhäuser,https://scholar.google.com/citations?user=cOSBlXgAAAAJ
Kristjan,Eldjarn,https://scholar.google.is/citations?user=K1H_xSgAAAAJ&hl=en
Kristoffer Hougaard,Madsen,https://scholar.google.com/citations?user=2SFcdW0AAAAJ&hl=da
Kyveli,Kompatsiari,https://scholar.google.com/citations?user=p8N1pgkAAAAJ&hl=en&oi=ao
Lasse,Heje Pedersen,https://scholar.google.com/citations?user=XhSFeucAAAAJ
Laura Maria,Alessandretti,https://scholar.google.dk/citations?user=2265XuYAAAAJ&hl=da
Lazaros,Nalpantidis,https://scholar.google.dk/citations?user=YAx9230AAAAJ
Leon,Derczynski,https://scholar.google.dk/citations?user=d8iwqa8AAAAJ&hl=en
Léonard,Van Rompaey,https://scholar.google.com/citations?user=Ifwn1J8AAAAJ
LI,QUAN,https://scholar.google.com/citations?hl=en&user=g4WpWPwAAAAJ
Line,Clemmensen,https://scholar.google.com/citations?user=_S285OAAAAAJ&hl=da
Line,Reinhardt,https://scholar.google.dk/citations?user=-1qVGF4AAAAJ&hl=da
Louis,Boucherie,https://scholar.google.com/citations?user=UtfTBZ4AAAAJ&hl=fr&authuser=1
Louise,Pape-Haugaard,https://scholar.google.dk/citations?user=05FE5m4AAAAJ&hl=da&oi=sra
Louise,Barkhuus,https://scholar.google.com/citations?user=dAeFXDcAAAAJ&hl=en&oi=ao
Luca Maria,Aiello,https://scholar.google.com/citations?user=FIX-7hcAAAAJ&hl=en
Mads,Hobye,https://scholar.google.com/citations?user=R1XUBjUAAAAJ&hl=en
Mahshid,Javidsharifi,https://scholar.google.com/citations?hl=en&user=97mDiGwAAAAJ
Malte,Pedersen,https://scholar.google.com/citations?user=RREDgy4AAAAJ&hl=en
Mantas,Cibulskis,https://scholar.google.com/citations?user=_yOOYrEAAAAJ&hl=lt
Manxi,Lin,https://scholar.google.com/citations?user=RApnUsEAAAAJ&hl=en
Marco,Chiarandini,https://scholar.google.com/citations?user=RUfo3KoAAAAJ
Marco,Salvatore,https://scholar.google.it/citations?user=oCArlZQAAAAJ&hl=it
Marco,Pizzolato,https://scholar.google.com/citations?user=3I7B2DYAAAAJ
Margherita,Lazzaretto,https://scholar.google.com/citations?user=Br8HChIAAAAJ
Marjan,Mansourvar,https://scholar.google.com.my/citations?user=tPhAEvEAAAAJ&hl=en
Martin,Tolsgaard,https://scholar.google.com/citations?user=SVu_X0sAAAAJ&hl=en
Martin,Bøgsted,https://scholar.google.com/citations?user=M8tBrVgAAAAJ&hl=da
Martin,Nørgaard,https://scholar.google.com/citations?user=EMYkDoQAAAAJ&hl=en
Matthew,Collins,https://scholar.google.com/citations?user=oWhB_2oAAAAJ&hl=en
Max,Müller-Eberstein,https://scholar.google.com/citations?user=mI392-4AAAAJ
Melanie,Ganz-Benjaminsen,https://scholar.google.dk/citations?user=5AXE0skAAAAJ&hl=en
Michael,Kastoryano,https://scholar.google.dk/citations?user=2roUPxkAAAAJ&hl=en
Michael,Szell,http://scholar.google.com/citations?hl=en&user=3kwJhIcAAAAJ
Michael Friis,Lippert,https://scholar.google.com/citations?hl=da&user=Qmivq-AAAAAJ
Miguel,González-Duque,https://scholar.google.com/citations?user=eje0FAYAAAAJ&hl=es
Mihai,MOLDOVAN,https://scholar.google.com/citations?user=f5GoytcAAAAJ
Mikkel,Schmidt,http://scholar.google.dk/citations?user=IjF4ExkAAAAJ&hl=da
Mikkel,Kjærgaard,https://scholar.google.dk/citations?user=rWlCJVQAAAAJ&hl=da&oi=ao
Ming,Shen,https://scholar.google.com/citations?user=3m43L38AAAAJ
Mirabelle,Jones,https://scholar.google.com/citations?user=VY92sIoAAAAJ
Mohammad Sadegh,Talebi,https://scholar.google.com/citations?user=Q4_AHDYAAAAJ&hl=en
Morten,Arngren,https://scholar.google.com/citations?user=7zJcE50AAAAJ
Morten,Mørup,https://scholar.google.com/citations?user=RQonsgMAAAAJ&hl=da
Morten,Rieger Hannemose,https://scholar.google.com/citations?user=AH58CjUAAAAJ
Morten Bo,Svendsen,https://scholar.google.com/citations?user=U7YuapkAAAAJ&hl=da&oi=ao
Mostafa,Mehdipour Ghazi,https://scholar.google.com/citations?user=8LoF2mEAAAAJ&hl
Natalia,Avlona,https://scholar.google.com/citations?user=PvKbwaEAAAAJ
Natália,da Silva Perez,https://scholar.google.com/citations?user=HQqQokQAAAAJ&hl=en
Nico,Lang,https://scholar.google.ch/citations?user=bVZtKsQAAAAJ&hl=en
Nico,Wunderlich,https://scholar.google.com/citations?user=P5QGP40AAAAJ
Niels,van Berkel,https://scholar.google.co.uk/citations?user=0VfMvLsAAAAJ
Niklas,Pfister,https://scholar.google.com/citations?user=u2G6pzcAAAAJ&hl=en&oi=ao
Nikolaos,Nakis,https://scholar.google.com/citations?user=aBbL2BkAAAAJ&hl=en&oi=sra
Nora,Hollenstein,https://scholar.google.com/citations?user=vxvmkskAAAAJ&hl=en
Ole,Winther,https://scholar.google.com/citations?user=7VAwhzUAAAAJ&hl=da
