Name,Affiliation,Citations,H-Index,I10-Index,Interests,Profile Picture URL
"Desmond Elliott","Assistant Professor, University of Copenhagen",3602,24,42,"Multimodal Machine Learning;Language and Vision;Natural Language Processing","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=OjYpMi4AAAAJ&citpid=2"
"Dimitrios Chrysostomou","Associate Professor, Aalborg University",1160,17,29,"Intelligent robotics;Human – robot interaction;Collaborative robots;Multi-camera systems;Robot ethics","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=bPSVAdQAAAAJ&citpid=7"
"Dim P. Papadopoulos","Associate Professor, Technical University of Denmark",1099,13,13,"Computer Vision;Machine Learning","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=-_JAhdQAAAAJ&citpid=2"
"Dimitrios Stamou","Professor, Department of Chemistry, University of Copenhagen",6976,43,61,"Membrane biophysics;Membrane geometry;Single molecules;GPCRs;Transporters","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=FvkfeBYAAAAJ&citpid=3"
"Efren Fernandez-Grande","Associate Professor, Technical University of Denmark",1710,21,44,"Acoustics;Signal Processing;Sound Field Analysis","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=dkDABF8AAAAJ&citpid=5"
"Efren Fernandez-Grande","Associate Professor, Technical University of Denmark",1710,21,44,"Acoustics;Signal Processing;Sound Field Analysis","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=dkDABF8AAAAJ&citpid=5"
"Eike Petersen","DTU Compute,Technical University of Denmark",147,8,7,"Responsible Machine Learning;Biomedical Signal Processing;Mathematical Modelling;Statistical Inference;Algorithmic Fairness","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=juRQtRgAAAAJ&citpid=3"
"Elias Najarro","PhD fellow, IT University of Copenhagen",156,5,3,"Machine learning;Evolutionary computation;Computational neuroscience;Self-organization;AI for Science","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=x7EcQBMAAAAJ&citpid=5"
"Elizabeth Baker","University of Copenhagen",2,1,0,"stochastics;shape spaces;geometry","N/A"
"Erik B Dam","University of Copenhagen, Cerebriu",5630,30,57,"Medical Image Analysis;Data Science","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=X_SLVUIAAAAJ&citpid=2"
"Esmaeil S. Nadimi","Prof. Maersk Mc-Kinney Moller Inst, University of Southern Denmark",1829,19,33,"Artificial Intelligence;Biomedical Engineering;Control Theory;Random Matrix Theory","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=hTIEBuEAAAAJ&citpid=3"
"Fabian M. Mager","PhD student",25,1,1,"Medical Imaging;Machine Learning;Self-Supervised Learning","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=8hHnlTgAAAAJ&citpid=3"
"Federico Delussu","PhD student",40,3,2,"Data Science;Time Series;Causality","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=3yO7jOgAAAAJ&citpid=1"
"Finn Årup Nielsen","Associate Professor, DTU Compute, Technical University of Denmark",7890,35,62,"Neuroinformatics;Wikipedia;meta-analysis;data mining;sentiment analysis","N/A"
"Francesco Da Ros","Technical University of Denmark",3408,28,76,"Optical Computing;Optical communication;Signal Processing;Machine Learning;Nonlinear Optics","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=9rLWY_YAAAAJ&citpid=1"
"Galadrielle Humblot-Renaux","Visual Analysis and Perception lab, Aalborg University",14,2,0,"deep learning;computer vision;robotic perception","N/A"
"Germans Savcisens","PhD Student in Computational Social Sciences @ Technical University of Denmark",2,1,0,"foundation models;natural language processing;fairness;time-series;human behaviour","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=60I1M-oAAAAJ&citpid=1"
"Guandao Yang","Stanford",1057,9,9,"Computer Vision;Deep Learning;Machine Learning;Computer Graphics","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=_kElCmMAAAAJ&citpid=9"
"Guido Makransky","Professor of Psychology, University of Copnhagen",6504,35,65,"Virtual learning;Educational psychology;Technology enhanced learning;XR;Immersive learning","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=syi-4TwAAAAJ&citpid=2"
"Hang Yin","Tenure-track Assistant Professor, University of Copenhagen",638,12,17,"Robotics;Machine Learning;Artificial Intelligence","N/A"
"Henning Christiansen","Professor of Computer Science",1480,20,42,"Computer Science;AI;Medical applications of AI;Artistic installations","N/A"
"Hua LU","Professor of Computer Science, Roskilde University, Denmark",5236,39,80,"Data Management;Spatial Data;Location-based Services;Data Science;GIS","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=h1mExmcAAAAJ&citpid=4"
"Hubert Dariusz Zając","University of Copenhagen",30,3,1,"","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=rr-Z8FAAAAAJ&citpid=2"
"Hugo Andrés López","Associate Professor, Technical University of Denmark",425,13,17,"Business process management;Distributed Systems;Modeling and Verification","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=ZNtN05IAAAAJ&citpid=9"
"Ioannis Caragiannis","Professor of Computer Science, Aarhus University",4772,39,80,"Theoretical Computer Science;Algorithms;Artificial Intelligence;Algorithmic Game Theory;Computational Social Choice","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=FSIQi4IAAAAJ&citpid=7"
"Isabelle Augenstein","Full Professor, Department of Computer Science, University of Copenhagen",5087,34,77,"Natural Language Processing;Machine Learning","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=DjJp0dcAAAAJ&citpid=6"
"Ivan Nikolov","Assistant Professor, Aalborg University",178,6,5,"Computer Graphics;Deep Learning;Augmented and Virtual Reality;Computer Vision;3D reconstruction","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=K2m6cxcAAAAJ&citpid=2"
"Iván López-Espejo","Aalborg University",245,10,10,"Robust speech recognition;Statistical signal processing;Speaker verification;Speech enhancement;Machine learning","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=MRePLRQAAAAJ&citpid=12"
"Ivana Konvalinka","Cognitive Systems, DTU Compute, Technical University of Denmark",2877,19,22,"Social neuroscience;joint action;coordination;hyperscanning;EEG","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=lOM8LloAAAAJ&citpid=12"
"Jacopo Mauro","University of Southern Denmark",1311,19,45,"Optimization;DevOps;Choreographic Programming;Formal Methods;Cybersecurity","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=brh_I2kAAAAJ&citpid=2"
"Jakob E. Bardram","Professor in computer science, Technical University of Denmark",11271,54,144,"human computer interaction;ubiquitous computing;digital health;mobile sensing","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=VqgHPskAAAAJ&citpid=2"
"Jalal Kazempour","Associate Professor, Technical University of Denmark (DTU)",3685,34,67,"Energy Markets;Power Systems;Operations Research;Optimization;Game Theory","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=paWy7YYAAAAJ&citpid=17"
"Jan Østergaard","Full Professor, Aalborg University",1946,21,45,"Information theory;statistical signal processing;acoustic signal processing;networked control theory;EEG signal processing","https://scholar.googleusercontent.com/citations?view_op=view_photo&user=P7rpiNUAAAAJ&citpid=1"
